key_id,service_trade_site_location_id,address_normalized,property_management_company_normalized,building_normalized,display_address,legacy_monthly_route_location_id,legacy_testing_site_id,keys_text,barcode_text,source,exported_at
15,,1005 broad street,richmond property group,,1005 Broad Street,941,13,K 5001 [K4],100340,testing_site,2026-05-11T22:18:57.352487+00:00
16,,1005 pakington street,century 21 queenswood,,1005 Pakington Street,942,14,171,100590,testing_site,2026-05-11T22:18:57.352487+00:00
17,,1005 st. charles street,bross holdings,,1005 St. Charles Street,943,15,HC 5001,100464,testing_site,2026-05-11T22:18:57.352487+00:00
18,,1006 fort street,colliers,,1006 Fort Street,944,16,ZZ 6001 K3-F1,100619,testing_site,2026-05-11T22:18:57.352487+00:00
19,,1006 tolmie avenue,century 21 queenswood,,1006 Tolmie Avenue,945,17,163,100251,testing_site,2026-05-11T22:18:57.352487+00:00
20,,1007 esquimalt road,starlight properties,,1007 Esquimalt Road,946,18,LT 7001,100595,testing_site,2026-05-11T22:18:57.352487+00:00
22,,1010 mckenzie avenue,starlight/devon,,1010 Mckenzie Avenue,948,19,M 101,100836,testing_site,2026-05-11T22:18:57.352487+00:00
23,,1012 collinson street,hutton,,1012 Collinson Street,949,20,M 2101 K3,100792,testing_site,2026-05-11T22:18:57.352487+00:00
24,,1013 vancouver street,devon properties,,1013 Vancouver Street,950,21,183,100959,testing_site,2026-05-11T22:18:57.352487+00:00
26,,10159 third street,realstar management,,10159 Third Street,952,22,93,100807,testing_site,2026-05-11T22:18:57.352487+00:00
25,,1015 kings road,darioush diba,,1015 Kings Road,951,23,KQ 5101,100272,testing_site,2026-05-11T22:18:57.352487+00:00
27,,1017 queens avenue,starlight/devon,,1017 Queens Avenue,953,24,111,100242,testing_site,2026-05-11T22:18:57.352487+00:00
28,,1019 mcclure street,strata plan vis 308,,1019 McClure Street,954,25,CL 9101,100450,testing_site,2026-05-11T22:18:57.352487+00:00
29,,1019 rockland avenue,proline,,1019 Rockland Avenue,955,26,ST 9101 K2,100558,testing_site,2026-05-11T22:18:57.352487+00:00
21,,101 ontario street,proline property management,,101 Ontario Street,947,27,TO 101,100210,testing_site,2026-05-11T22:18:57.352487+00:00
30,,1020 park boulevard,pemberton holmes,,1020 Park Boulevard,956,28,92,100728,testing_site,2026-05-11T22:18:57.352487+00:00
31,,1020 pembroke street,brown bros.,,1020 Pembroke Street,957,29,RT 0201 K2,100397,testing_site,2026-05-11T22:18:57.352487+00:00
32,,1024 fairfield road,firm management,,1024 Fairfield Road,958,30,WT 4201 K3,100782,testing_site,2026-05-11T22:18:57.352487+00:00
33,,1025 johnson street,devon properties,,1025 Johnson Street,959,31,JD 5201 K5-F2,100923,testing_site,2026-05-11T22:18:57.352487+00:00
34,,1026 johnson street,firm management,,1026 Johnson Street,960,32,WS 6201 K4-F1,,testing_site,2026-05-11T22:18:57.352487+00:00
35,,1030 pendergast street,starlight/devon,,1030 Pendergast Street,961,33,GT 0301,100580,testing_site,2026-05-11T22:18:57.352487+00:00
36,,1031 burdett avenue,hutton,,1031 Burdett Avenue,962,34,BA 1301 K2,,testing_site,2026-05-11T22:18:57.352487+00:00
37,,1032 north park,pacific quorum $55,,1032 North Park,963,35,435,100547,testing_site,2026-05-11T22:18:57.352487+00:00
38,,1035 belmont avenue,belmont properties,,1035 Belmont Avenue,964,37,445,100083,testing_site,2026-05-11T22:18:57.352487+00:00
39,,1035 north park / 1720 cook street,first service residential,,1035 North Park / 1720 Cook Street,965,38,TH 5301,100909,testing_site,2026-05-11T22:18:57.352487+00:00
35,,1035 pendergast street,starlight/devon,,1035 Pendergast Street,966,39,GT 0301,100580,testing_site,2026-05-11T22:18:57.352487+00:00
41,,1036 stellys cross road,aleutian property management ltd,,1036 Stellys Cross Road,967,40,424,100565,testing_site,2026-05-11T22:18:57.352487+00:00
41,,1040 stellys cross road,aleutian property management ltd,,1040 Stellys Cross Road,969,42,424,100565,testing_site,2026-05-11T22:18:57.352487+00:00
44,,1041 fairfield road,pemberton holmes,,1041 Fairfield Road,970,43,68,100206,testing_site,2026-05-11T22:18:57.352487+00:00
45,,1041 richardson road,capital west,,1041 Richardson Road,971,44,RR 1401,100149,testing_site,2026-05-11T22:18:57.352487+00:00
47,,10459 resthaven drive,proline,,10459 Resthaven Drive,973,45,392,100335,testing_site,2026-05-11T22:18:57.352487+00:00
46,,1045 mcclure street,brown bros.,,1045 McClure Street,972,46,332,100543,testing_site,2026-05-11T22:18:57.352487+00:00
